"External ID","Asientos/Debe","Asientos/Haber","Asientos/Fecha creación","Asientos/Fecha vencimiento","Asientos/Nombre","Asientos/Nota interna","Asientos/Referencia","Asientos/Cuenta/Activo","Asientos/Empresa/Activo","Asientos/Producto/Activo","Asientos/Boleta de Depósito/ID","Asientos/Boleta de Depósito","Asientos/Cuenta","Asientos/Empresa","Asientos/Producto"
"__export__.account_move_101504","16137128.0","","2018-08-02","","Deposito desde RECAUDACIONES A DEPOSITAR","","Boleta 7815579","True","","","576","__export__.deposit_ticket_576","__export__.account_account_1155","",""
"","","16137128.0","2018-08-02","","Deposito desde RECAUDACIONES A DEPOSITAR","","Boleta 7815579","True","","","576","__export__.deposit_ticket_576","__export__.account_account_819","",""
"__export__.account_move_101503","3790000.0","","2018-08-02","","Deposito desde RECAUDACIONES A DEPOSITAR","","Boleta 5870838","True","","","575","__export__.deposit_ticket_575","__export__.account_account_1155","",""
"","","3790000.0","2018-08-02","","Deposito desde RECAUDACIONES A DEPOSITAR","","Boleta 5870838","True","","","575","__export__.deposit_ticket_575","__export__.account_account_819","",""
"__export__.account_move_101502","27288868806.3","","2018-07-02","","Credit Centralisation","","","True","","","","","__export__.account_account_972","",""
"","","","2018-07-02","","Ajustes de moneda","","","True","","","","","__export__.account_account_972","",""
"","","20844742731.4","2018-07-02","","Debit Centralisation","","","True","","","","","__export__.account_account_972","",""
"","8382282511.41","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_856","",""
"","","0.14","","","Fin de Ejerc","","","True","","","","","__export__.account_account_879","",""
"","0.01","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_877","",""
"","0.27","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_860","",""
"","0.45","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_893","",""
"","354309.0","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_1169","",""
"","0.02","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_895","",""
"","","0.36","","","Fin de Ejerc","","","True","","","","","__export__.account_account_899","",""
"","","711062595.244","","","Fin de Ejerc","","","True","","","","","__export__.account_account_855","",""
"","313665.490909","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_1159","",""
"","0.08","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_854","",""
"","7413518063.39","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_853","",""
"","","22002843600.4","","","Fin de Ejerc","","","True","","","","","__export__.account_account_1149","",""
"","0.44","","","","Fin de Ejerc","","","True","","","","","__export__.account_account_926","",""
